Match_id,Home_Team,Away_Team
46956,Burnley,Wolverhampton Wanderers
46957,Chelsea,Norwich City
46958,Crystal Palace,Manchester United
46959,Everton,Aston Villa
46960,Leicester City,Sheffield United
46961,Manchester City,AFC Bournemouth
46962,Newcastle United,Tottenham Hotspur
46963,Southampton,Brighton and Hove Albion
46964,West Ham United,Watford
46965,Aston Villa,Arsenal
46966,AFC Bournemouth,Southampton
46967,Brighton and Hove Albion,Newcastle United
46968,Liverpool,Chelsea
46969,Manchester United,West Ham United
46970,Norwich City,Burnley
46971,Sheffield United,Everton
46972,Tottenham Hotspur,Leicester City
46973,Watford,Manchester City
46974,Wolverhampton Wanderers,Crystal Palace
46975,Arsenal,Watford
46976,Burnley,Brighton and Hove Albion
46977,Chelsea,Wolverhampton Wanderers
46978,Crystal Palace,Tottenham Hotspur
46979,Everton,AFC Bournemouth
46980,Leicester City,Manchester United
46981,Manchester City,Norwich City
46982,Newcastle United,Liverpool
46983,Southampton,Sheffield United
46984,West Ham United,Aston Villa
